Rank,Country,Score*,Overall Rating,"National
Climate Policy Performance","International
Climate Policy Performance"
1,–,–,Very High,–,–
2,–,–,Very High,–,–
3,–,–,Very High,–,–
4,Denmark,20.00,High,High,Very High
5,Morocco,15.09,High,Medium,High
6,Netherlands,14.87,High,Medium,High
7,European Union (27),14.03,High,Medium,High
8,India,13.85,Medium,Medium,Medium
9,Chile,13.74,Medium,Medium,Medium
10,United States,13.64,Medium,Medium,High
11,Finland,13.38,Medium,Medium,Medium
12,Germany,13.17,Medium,Medium,High
13,Sweden,12.89,Medium,Medium,Medium
14,Portugal,12.77,Medium,Medium,Medium
15,China,11.70,Medium,Medium,Medium
16,Luxembourg,11.44,Medium,Medium,Medium
17,Spain,11.38,Medium,Low,Medium
18,Lithuania,11.21,Medium,Medium,Medium
19,Austria,11.08,Medium,Medium,Medium
20,Switzerland,10.28,Medium,Low,Medium
21,Latvia,9.95,Medium,Medium,Medium
22,United Kingdom,9.88,Medium,Low,Medium
23,Vietnam,9.78,Medium,Low,Medium
24,Norway,9.72,Medium,Low,Medium
25,Egypt,9.70,Medium,Low,Medium
26,Colombia,9.60,Medium,Medium,Medium
27,Indonesia,9.37,Medium,Low,Medium
28,Italy,9.29,Medium,Low,Medium
29,Belgium,9.01,Medium,Low,Medium
30,Greece,8.93,Medium,Low,Medium
31,France,8.33,Medium,Low,Medium
32,Cyprus,8.27,Medium,Low,Medium
33,Canada,8.26,Medium,Low,Medium
34,New Zealand,7.90,Medium,Low,Low
35,Croatia,7.85,Low,Low,Low
36,Estonia,7.80,Low,Low,Low
37,Slovak Republic,7.75,Low,Low,Medium
38,Malta,7.62,Low,Low,Medium
39,Australia,7.51,Low,Low,Medium
40,Ireland,7.46,Low,Low,Medium
41,Thailand,7.38,Low,Low,Low
42,Chinese Taipei,7.33,Low,Low,Medium
43,Slovenia,7.33,Low,Low,Low
44,South Africa,7.27,Low,Low,Medium
45,Philippines,6.95,Low,Low,Low
46,Mexico,6.90,Low,Low,Low
47,Czech Republic,6.33,Low,Low,Low
48,Bulgaria,5.96,Low,Low,Low
49,Islamic Republic of Iran,5.02,Low,Low,Very Low
50,Korea,4.98,Low,Very Low,Low
51,Kazakhstan,4.40,Low,Low,Low
52,Saudi Arabia,4.17,Low,Low,Low
53,Argentina,3.87,Very Low,Very Low,Low
54,Malaysia,3.70,Very Low,Low,Very Low
55,Japan,3.33,Very Low,Low,Very Low
56,Romania,3.05,Very Low,Low,Very Low
57,Poland,2.95,Very Low,Low,Very Low
58,Belarus,2.93,Very Low,Low,Very Low
59,Algeria,2.61,Very Low,Low,Very Low
60,Brazil,1.65,Very Low,Low,Very Low
61,Hungary,1.41,Very Low,Very Low,Very Low
62,Turkey,0.48,Very Low,Very Low,Very Low
63,Russian Federation,0.00,Very Low,Very Low,Very Low