ISO;country;emissions_co2
ABW;Aruba;1.274133858
AFG;Afghanistan;8.347669018
AGO;Angola;24.4500572
AIA;Anguilla;0.02540872
AIR;International Aviation;390.1662501
ALB;Albania;4.591114338
ANT;Curaçao;2.035324074
ARE;United Arab Emirates;193.5069399
ARG;Argentina;189.0020275
ARM;Armenia;6.769803499
ATG;Antigua and Barbuda;0.777871204
AUS;Australia;367.9069573
AUT;Austria;66.00769434
AZE;Azerbaijan;37.10504296
BDI;Burundi;0.710458691
BEL;Belgium;95.92364019
BEN;Benin;8.629283856
BFA;Burkina Faso;5.289855324
BGD;Bangladesh;106.8674407
BGR;Bulgaria;43.64437322
BHR;Bahrain;37.49464013
BHS;Bahamas;4.042735574
BIH;Bosnia and Herzegovina;15.37006991
BLR;Belarus;58.36431734
BLZ;Belize;0.635030944
BMU;Bermuda;0.819736879
BOL;Bolivia;22.42803649
BRA;Brazil;489.8577336
BRB;Barbados;1.765476591
BRN;Brunei;7.207750563
BTN;Bhutan;1.975741344
BWA;Botswana;6.999752167
CAF;Central African Republic;0.275919941
CAN;Canada;563.5383792
CHE;Switzerland and Liechtenstein;35.07257301
CHL;Chile;85.70328674
CHN;China;12466.31598
CIV;Côte d’Ivoire;14.54393137
CMR;Cameroon;10.20271103
COD;Democratic Republic of the Congo;3.369498414
COG;Congo;7.371025916
COK;Cook Islands;0.109024911
COL;Colombia;77.57032327
COM;Comoros;0.278186191
CPV;Cabo Verde;0.915312864
CRI;Costa Rica;8.090574591
CUB;Cuba;24.60550024
CYM;Cayman Islands;0.860694083
CYP;Cyprus;6.749550626
CZE;Czechia;97.69077436
DEU;Germany;665.8836332
DJI;Djibouti;0.608819187
DMA;Dominica;0.194229582
DNK;Denmark;27.28003434
DOM;Dominican Republic;27.72657687
DZA;Algeria;173.0006505
ECU;Ecuador;41.14067192
EGY;Egypt;259.3213445
ERI;Eritrea;0.835199911
ESH;Western Sahara;0.238713663
ESP;Spain and Andorra;231.9142275
EST;Estonia;14.9056687
ETH;Ethiopia;19.20883863
FIN;Finland;38.99249746
FJI;Fiji;1.731406874
FLK;Falkland Islands;0.054315893
FRA;France and Monaco;302.3270747
FRO;Faroes;0.001978609
GAB;Gabon;5.520448926
GBR;United Kingdom;335.3631883
GEO;Georgia;11.64922028
GHA;Ghana;23.63553424
GIB;Gibraltar;0.669696558
GIN;Guinea;3.440748151
GLP;Guadeloupe;1.805211744
GMB;The Gambia;0.557662085
GNB;Guinea-Bissau;0.320930346
GNQ;Equatorial Guinea;7.003662021
GRC;Greece;53.37247579
GRD;Grenada;0.343901235
GRL;Greenland;0.46451847
GTM;Guatemala;20.19112075
GUF;French Guiana;0.839437082
GUY;Guyana;2.900246704
HKG;Hong Kong;33.20500618
HND;Honduras;9.750869303
HRV;Croatia;17.99854832
HTI;Haiti;3.243721444
HUN;Hungary;50.69127806
IDN;Indonesia;602.593708
IND;India;2648.779133
IRL;Ireland;35.01315221
IRN;Iran;710.8306148
IRQ;Iraq;177.8488206
ISL;Iceland;2.908004789
ISR;Israel and Palestine, State of;59.58964365
ITA;Italy, San Marino and the Holy See;319.6690114
JAM;Jamaica;8.081031591
JOR;Jordan;24.29678442
JPN;Japan;1084.690992
KAZ;Kazakhstan;211.2073488
KEN;Kenya;22.43026178
KGZ;Kyrgyzstan;10.77982562
KHM;Cambodia;16.9550226
KIR;Kiribati;0.075164622
KNA;Saint Kitts and Nevis;0.286364144
KOR;South Korea;626.8000309
KWT;Kuwait;98.08298568
LAO;Laos;20.55955505
LBN;Lebanon;25.76891099
LBR;Liberia;1.443499541
LBY;Libya;63.27811872
LCA;Saint Lucia;0.713276767
LKA;Sri Lanka;23.86251312
LSO;Lesotho;0.652547973
LTU;Lithuania;13.82483539
LUX;Luxembourg;8.446430798
LVA;Latvia;7.212016798
MAC;Macao;2.657829109
MAR;Morocco;73.96805538
MDA;Moldova;9.549683576
MDG;Madagascar;5.299768977
MDV;Maldives;2.206366509
MEX;Mexico;418.3479391
MKD;North Macedonia;7.507747257
MLI;Mali;5.921716039
MLT;Malta;1.745432648
MMR;Myanmar/Burma;40.05064036
MNG;Mongolia;24.98524241
MOZ;Mozambique;8.644338953
MRT;Mauritania;4.256858833
MTQ;Martinique;1.904399538
MUS;Mauritius;4.12793065
MWI;Malawi;1.818903274
MYS;Malaysia;251.5552154
NAM;Namibia;4.065384801
NCL;New Caledonia;5.699091806
NER;Niger;2.469814991
NGA;Nigeria;127.0292518
NIC;Nicaragua;5.002434496
NLD;Netherlands;146.8681349
NOR;Norway;42.32921125
NPL;Nepal;14.31374519
NZL;New Zealand;32.60333814
OMN;Oman;94.61967335
PAK;Pakistan;219.7924461
PAN;Panama;12.51089334
PER;Peru;55.14439017
PHL;Philippines;147.9556226
PLW;Palau;1.323699598
PNG;Papua New Guinea;6.570530106
POL;Poland;320.7681893
PRI;Puerto Rico;1.260950276
PRK;North Korea;62.57359975
PRT;Portugal;38.67690709
PRY;Paraguay;8.891134056
PYF;French Polynesia;0.973219458
QAT;Qatar;97.69387446
REU;Réunion;2.579326973
ROU;Romania;78.74669937
RUS;Russia;1942.535227
RWA;Rwanda;1.235757002
SAU;Saudi Arabia;586.3982445
SCG;Serbia and Montenegro;39.34964635
SDN;Sudan and South Sudan;21.36578888
SEA;International Shipping;699.7221775
SEN;Senegal;11.9808239
SGP;Singapore;58.18146555
SHN;Saint Helena, Ascension and Tristan da Cunha;0.016101619
SLB;Solomon Islands;0.328915059
SLE;Sierra Leone;1.008872059
SLV;El Salvador;8.176486479
SOM;Somalia;0.763629187
SPM;Saint Pierre and Miquelon;0.092771651
STP;São Tomé and Príncipe;0.153461718
SUR;Suriname;2.706967359
SVK;Slovakia;37.48180992
SVN;Slovenia;14.17066724
SWE;Sweden;38.92176751
SWZ;Eswatini;1.508610076
SYC;Seychelles;1.046391503
SYR;Syria;25.86050622
TCA;Turks and Caicos Islands;0.24848955
TCD;Chad;2.21421826
TGO;Togo;2.256159345
THA;Thailand;269.5667145
TJK;Tajikistan;10.12597045
TKM;Turkmenistan;83.32159784
TLS;Timor-Leste;0.566563894
TON;Tonga;0.169000649
TTO;Trinidad and Tobago;28.99454855
TUN;Tunisia;31.78599104
TUR;Turkey;449.724902
TWN;Taiwan;288.157043
TZA;Tanzania;13.40768066
UGA;Uganda;6.815710279
UKR;Ukraine;185.4554
URY;Uruguay;6.790116761
USA;United States;4752.07932
UZB;Uzbekistan;125.6536225
VCT;Saint Vincent and the Grenadines;0.232840745
VEN;Venezuela;104.6724586
VGB;British Virgin Islands;0.182326905
VNM;Vietnam;321.4133382
VUT;Vanuatu;0.223016434
WSM;Samoa;0.360229572
YEM;Yemen;12.04724534
ZAF;South Africa;435.5228117
ZMB;Zambia;7.010965431
ZWE;Zimbabwe;12.29322746
;;
EU27;EU27;2774.926525
GLOBAL TOTAL;GLOBAL TOTAL;37857.57575
