"","country","weighted_projected_emissions","tot_mit","pop","lulucf","projection","emissions","tot_mit_reverse","netto_pop","weighted_projected_emissions_pop","tot_mit_pop","tot_mit_reverse_pop","enfcc_pop","Unit","emissions_1990","score.x","score_net_null","score.y","score_per_capita","classification","color","classification_per_capita","color_per_capita"
"1","Austria",61258.302505455,-4160.68002216252,8951520,-10401.7000554063,76764.7901070864,77000,4160.68002216252,0.0063785393411725,0.00684334085221895,-0.00046480151104645,0.00046480151104645,0.781406213568246,"Kilograms per capita",10295,-0.104764736730605,-0.00451030842220825,5.8,-0.8,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"2","Belgium",97446.1077586347,-129.74733679295,11552615,-324.368341982376,122112.91699077,110000,129.74733679295,0.00842375171524731,0.0084349827081258,-1.12309928784912e-05,1.12309928784912e-05,0.671650808554753,"Kilograms per capita",14632,-1.55094827540554,-0.00595649196088318,-0.4,-11.8,"Slightly Insufficient","#fee090","Slightly Insufficient","#fee090"
"3","Bulgaria",47515.3557681621,-3657.63520970732,6877742.5,-9144.0880242683,59543.0523410553,53000,3657.63520970732,0.00637676106054491,0.00690856858455549,-0.000531807524010578,0.000531807524010578,0.781501644200772,"Kilograms per capita",11345,-0.103507302439986,-0.00450905098791763,7.8,-0.8,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"4","Croatia",18716.6832492464,-2320.94634392752,3878981,-5802.3658598188,23454.4902872761,24000,2320.94634392752,0.00422681547172282,0.00482515466026937,-0.000598339188546558,0.000598339188546558,0.896877510222943,"Kilograms per capita",6585,1.41673380259822,-0.00298880988287942,12,10.8,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"5","Cyprus",6932.2722652292,-94.1305063461081,899939,-235.32626586527,8687.05797647769,8000,94.1305063461081,0.00759845029372334,0.00770304683454012,-0.000104596540816776,0.000104596540816776,0.715940239288591,"Kilograms per capita",9608,-0.967372043723046,-0.00537291572920069,13.5,-7.3,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"6","Denmark",35168.4452104404,968.024193329149,5850189,2420.06048332287,44070.7333464165,43000,-968.024193329149,0.00617697469325684,0.00601150581809244,0.0001654688751644,-0.0001654688751644,0.792223090020205,"Kilograms per capita",1397,0.0377629926580387,-0.0043677806928196,9,0.3,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"7","Estonia",9986.94757013708,1153.02973472099,1330932,2882.57433680247,12514.9718924024,12000,-1153.02973472099,0.00837005745211481,0.00750372488612271,0.000866332565992092,-0.000866332565992092,0.674532287110091,"Kilograms per capita",25667,-1.51298069783373,-0.00591852438331138,12.9,-11.5,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"8","Finland",42174.6613067198,194.642804000001,5541020,486.607010000001,52850.452765313,47000,-194.642804000001,0.00764648099279912,0.0076113533801935,3.51276126056214e-05,-3.51276126056214e-05,0.713362693358903,"Kilograms per capita",14256,-1.00133487674466,-0.0054068785622223,8.1,-7.6,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"9","France",323227.07192228,-6822.0515250464,67719897,-17055.128812616,405046.456042957,414000,6822.0515250464,0.00467226080389983,0.00477300005229305,-0.000100739248393222,0.000100739248393222,0.872972886202382,"Kilograms per capita",9537,1.10175638756796,-0.00330378729790968,-34.1,8.4,"Insufficient","#fdae61","Sufficient","#e0f3f8"
"10","Germany",650888.104837041,1599.36056507409,83196074,3998.40141268521,815649.254181756,760000,-1599.36056507409,0.00784276750128997,0.00782354351044307,1.92239908469008e-05,-1.92239908469008e-05,0.702829065892542,"Kilograms per capita",15752,-1.14013039795397,-0.00554567408343161,-85.8,-8.7,"Atrocious","#d73027","Slightly Insufficient","#fee090"
"11","Greece",62664.7525139418,-2190.49211256669,10656962,-5476.23028141671,78527.2587894007,77000,2190.49211256669,0.00567462475716579,0.00588017040071474,-0.000205545643548948,0.000205545643548948,0.819181474094679,"Kilograms per capita",10198,0.392978038996644,-0.004012565646481,5.3,3,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"12","Hungary",50138.961455022,-2878.95337959548,9709893,-7197.38344898869,62830.7787656917,64000,2878.95337959548,0.00486720173697346,0.00516369865816461,-0.000296496921191148,0.000296496921191148,0.86251146843745,"Kilograms per capita",9156,0.963912331860763,-0.00344163135361688,7.3,7.3,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"13","Iceland",4041.16504201442,3759.27190814276,372523,9398.1797703569,5064.11659400303,4000,-3759.27190814276,0.0209394774286613,0.0108480953981752,0.0100913820304861,-0.0100913820304861,0,"Kilograms per capita",1445,-10.4009027988314,-0.014806446484309,13.4,-78.9,"Sufficient","#e0f3f8","Atrocious","#d73027"
"14","Ireland",49388.5544029505,2935.30050690661,5011460,7338.25126726652,61890.4190513164,62000,-2935.30050690661,0.0104408405753727,0.00985512293881434,0.00058571763655833,-0.00058571763655833,0.563404639307214,"Kilograms per capita",15872,-2.97724548665603,-0.00738278917213367,6.5,-22.6,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"15","Italy",306741.372675589,-10989.263411443,59109666,-27473.1585286074,384387.68505713,417000,10989.263411443,0.00500344747784815,0.00518936061448206,-0.000185913136633913,0.000185913136633913,0.855199901843868,"Kilograms per capita",9194,0.867572044580487,-0.00353797164089715,-30.9,6.6,"Insufficient","#fdae61","Sufficient","#e0f3f8"
"16","Latvia",9028.51438522338,957.781003028865,1884488,2394.45250757216,11313.9278010318,10000,-957.781003028865,0.00529920879743052,0.00479096411610123,0.000508244681329287,-0.000508244681329287,0.839328003243229,"Kilograms per capita",9771,0.658437209891113,-0.00374710647558653,13,5,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"17","Lithuania",16234.5946447573,-2436.35734525684,2795321,-6090.8933631421,20344.1035648588,20000,2436.35734525684,0.00493619061978945,0.00580777472238692,-0.000871584102597463,0.000871584102597463,0.858809210974665,"Kilograms per capita",12714,0.915129824995092,-0.00349041386048255,12.4,6.9,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"18","Luxembourg",8649.65985653539,-242.139425658196,640064,-605.34856414549,10839.1727525506,9000,242.139425658196,0.0131354371295327,0.0135137421516214,-0.000378305022088723,0.000378305022088723,0.418800323443158,"Kilograms per capita",33317,-4.88261298266446,-0.0092881566681421,13.3,-37.1,"Sufficient","#e0f3f8","Insufficient","#fdae61"
"19","Malta",2207.93212167991,0.255362781062144,516748,0.63840695265536,2766.83223268159,2000,-0.255362781062144,0.00427323856978831,0.00427274439703668,4.94172751635505e-07,-4.94172751635505e-07,0.894386235480649,"Kilograms per capita",7416,1.38390771515242,-0.00302163597032522,14.2,10.5,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"20","Netherlands",138676.569780986,1725.1742964273,17533406,4312.93574106825,173780.162632815,167000,-1725.1742964273,0.00800767084714822,0.00790927728365991,9.83935634883091e-05,-9.83935634883091e-05,0.693979601777139,"Kilograms per capita",14833,-1.25673467205069,-0.00566227835752833,-7,-9.5,"Slightly Insufficient","#fee090","Slightly Insufficient","#fee090"
"21","Poland",305193.754331921,-8037.88917932512,38162224,-20094.7229483128,382448.313699149,399000,8037.88917932512,0.00778664957138231,0.00799727380489986,-0.000210624233517552,0.000210624233517552,0.705840609438634,"Kilograms per capita",12478,-1.10044902917011,-0.00550599271464775,-31.1,-8.4,"Insufficient","#fdae61","Slightly Insufficient","#fee090"
"22","Portugal",51630.279582097,-2408.42013513315,10297876,-6021.05033783288,64699.5984738058,56000,2408.42013513315,0.00477980696669526,0.00501368239257271,-0.000233875425877448,0.000233875425877448,0.867201469597982,"Kilograms per capita",5957,1.02570976656472,-0.00337983391891292,7,7.8,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"23","Romania",83227.8587487397,-19703.3700274354,19124061,-49258.4250685886,104295.562341779,115000,19703.3700274354,0.00332170498312593,0.00435199713851256,-0.00103029215538663,0.00103029215538663,0.945449858756112,"Kilograms per capita",11083,2.05674356680815,-0.00234880011866949,4.8,15.6,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"24","Slovenia",13323.731045025,-1242.3036945263,2107007,-3105.75923631575,16696.4048183271,16000,1242.3036945263,0.00573392843521578,0.00632353430483383,-0.000589605869618041,0.000589605869618041,0.815998968802967,"Kilograms per capita",9408,0.35104400609819,-0.00405449967937945,12.7,2.7,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"25","Spain",255064.527643746,-17808.7943744744,47331545,-44521.9859361859,319629.733889406,288000,17808.7943744744,0.00501263445487088,0.00538889080514371,-0.000376256350272833,0.000376256350272833,0.85470688684124,"Kilograms per capita",7404,0.86107587082911,-0.00354446781464853,-21.9,6.5,"Slightly Insufficient","#fee090","Sufficient","#e0f3f8"
"26","Sweden",40694.8916684342,-16684.3341122336,10415812,-41710.835280584,50996.1048476619,47000,16684.3341122336,0.00230520266266332,0.00390703016418059,-0.00160182750151727,0.00160182750151727,1,"Kilograms per capita",8351,2.77551925069912,-0.00163002443477852,10.9,21.1,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"27","Switzerland",35506.2480311857,-750.032145546214,8704542,-1875.08036386553,44494.0451518618,45000,750.032145546214,0.00399288278299301,0.00407904839004576,-8.61656070527564e-05,8.61656070527564e-05,0.90943140307187,"Kilograms per capita",8184,1.58214919314027,-0.00282339449233737,9.2,12,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
